PAINTING_NAME,ARTIST_NAME,PAINTING_IMAGE_PATH
A Chivalrous Gamble,Eric N. Duran,hist_paintings\1311710988.jpg
A Corner of the Moulin de la Galette,Henri de Toulouse–Lautrec,hist_paintings\962899582.jpg
A Cowherd at Valhermeil,Camille Pissarro,hist_paintings\1147570952.jpg
A Creek in St. Thomas,Camille Pissarro,hist_paintings\219872667.jpg
A Lady Writing a Letter,Johannes Vermeer,hist_paintings\245946394.jpg
A Meeting,Marie Bashkirtseff,hist_paintings\580933037.jpg
A Sea-Nymph,Sir Edward Burne–Jones,hist_paintings\41226777.jpg
A Sunday on La Grande Jatte,Georges Seurat,hist_paintings\1355356399.jpg
A Table Corner,Paul Cézanne,hist_paintings\322521658.jpg
Academy,Amélie Beaury-Saurel,hist_paintings\727489749.jpg
Académie Julian with Mademoiselle Beson drinking from her glass,Mina Carlson-Bredberg,hist_paintings\1067558544.jpg
Adoration of the Magi,Giotto di Bondone,hist_paintings\959674874.jpg
Africa,Rosalba Carriera,hist_paintings\1339872461.jpg
Albert (René) Grenier,Henri de Toulouse–Lautrec,hist_paintings\1595059122.jpg
Alexandre Lenoir,Marie Bouliard,hist_paintings\1583453426.jpg
Allee at Schloss Kammer,Gustav Klimt,hist_paintings\198756081.jpg
Allegory of Fortune,Luc-Olivier Merson,hist_paintings\2110758551.jpg
Allegory of Time Governed by Prudence,Titian,hist_paintings\733659960.jpg
Angel,Abbott Handerson Thayer,hist_paintings\1075246116.jpg
Annunciation,Leonardo da Vinci,hist_paintings\2066118322.jpg
Apple Tree Pointillist Version,Piet Mondrian,hist_paintings\1890804512.jpg
Arrival of the Normandy Train,Claude Monet,hist_paintings\568161967.jpg
Artist in her Room,Gwen John,hist_paintings\1051308089.jpg
At Calcot,John Singer Sargent,hist_paintings\1117538669.jpg
At the Moulin Rouge,Henri de Toulouse–Lautrec,hist_paintings\1986773722.jpg
At the Piano,Mina Carlson-Bredberg,hist_paintings\2071742974.jpg
Attributes of Painting Sculpture and Architecture,Anne Vallayer Coster,hist_paintings\1139768840.jpg
Autumn Day,Gerrit Willem Dijsselhof,hist_paintings\881904199.jpg
Bacchus and Ariadne,Titian,hist_paintings\1136176759.jpg
Backyard,Alice Bailly,hist_paintings\1540007272.jpg
Bar of the Café of the rue de Rome,Henri de Toulouse–Lautrec,hist_paintings\1184271104.jpg
Bathers,Paul Cézanne,hist_paintings\1767794602.jpg
Beach at Cabasson,Henri-Edmond Cross,hist_paintings\166172998.jpg
Beach at Low Tide,Edgar Degas,hist_paintings\1936167207.jpg
Bedroom in Arles,Vincent van Gogh,hist_paintings\2075508189.jpg
Beech Grove I,Gustav Klimt,hist_paintings\1053990359.jpg
Bird Bathers,Alice Bailly,hist_paintings\203148596.jpg
Birth of Venus,Sandro Botticelli,hist_paintings\773817723.jpg
Boating,Édouard Manet,hist_paintings\1434893437.jpg
Bon Bock Cafe,Édouard Manet,hist_paintings\238447758.jpg
Boris Yusupov as Cupid,Louise Elisabeth Vigée-Lebrun,hist_paintings\1050029088.jpg
Bouquet of Flowers with a Butterfly,William van Leen,hist_paintings\1894265404.jpg
Bouquet of Flowers with China Asters and Tokyos,Henri Rousseau,hist_paintings\549272473.jpg
Bouquet of Flowers,Henri Rousseau,hist_paintings\1745204958.jpg
Bouquet,Pierre-Auguste Renoir,hist_paintings\1575485183.jpg
Breton Girls Dancing,Paul Gauguin,hist_paintings\649822536.jpg
Bridge over Waterfall,Hiroaki Takahashi,hist_paintings\2011281475.jpg
By the Sea,Paul Gauguin,hist_paintings\802877216.jpg
By the Sea,Piet Mondrian,hist_paintings\1072870908.jpg
Café Singer,Edgar Degas,hist_paintings\2085858651.jpg
Calanque des Antibois,Henri-Edmond Cross,hist_paintings\479843052.jpg
Carmen,Henri de Toulouse–Lautrec,hist_paintings\2025358500.jpg
Castle Island Boston Harbor,Frederick Childe Hassam,hist_paintings\1349561304.jpg
Charles Lord of Cornwallis,Marie Verelst,hist_paintings\206242227.jpg
Checkmate,Eric N. Duran,hist_paintings\987627674.jpg
Children Playing on the Beach,Mary Cassatt,hist_paintings\743549021.jpg
Children with a Parrot,Christina Robertson,hist_paintings\2059075140.jpg
Christ in the House of Martha and Mary,Johannes Vermeer,hist_paintings\30032283.jpg
Christ Washing the Disciples' Feet,Tintoretto,hist_paintings\380582592.jpg
Chrysanthemums in the Garden at Petit–Gennevilliers,Gustave Caillebotte,hist_paintings\321687067.jpg
Circus Sideshow,Georges Seurat,hist_paintings\1588647844.jpg
Cliff Walk at Pourville,Claude Monet,hist_paintings\1306806225.jpg
Cliffs at Étretat,Samuel Colman,hist_paintings\219179640.jpg
Clouded Leopards,Jacques–Laurent Agasse,hist_paintings\929998033.jpg
Cold Wintery Wind,Hiroaki Takahashi,hist_paintings\1690702292.jpg
Colors of the Sea,Melanee Alfonso,hist_paintings\1447247589.jpg
Commander Delexian,Carina Duran,hist_paintings\793501876.jpg
Conversation at the Table,Louise Catherine Breslau,hist_paintings\1551188901.jpg
Conversion of Saint Paul,Michelangelo,hist_paintings\1667034580.jpg
Cornish Headlands,Abbott Handerson Thayer,hist_paintings\529463067.jpg
Countess A. S. Protasova with her nieces,Angelika Kauffmann,hist_paintings\2143091132.jpg
